Epoch 1/100 (1.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 156433ms
Epoch 2/100 (2.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 160063ms
Epoch 3/100 (3.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 160690ms
Epoch 4/100 (4.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 164319ms
Epoch 5/100 (5.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 155420ms
Epoch 6/100 (6.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 141800ms
Epoch 7/100 (7.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 139359ms
Epoch 8/100 (8.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 139939ms
Epoch 9/100 (9.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138602ms
Epoch 10/100 (10.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138818ms
Epoch 11/100 (11.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138177ms
Epoch 12/100 (12.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137561ms
Epoch 13/100 (13.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138263ms
Epoch 14/100 (14.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137526ms
Epoch 15/100 (15.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137180ms
Epoch 16/100 (16.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 136806ms
Epoch 17/100 (17.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138252ms
Epoch 18/100 (18.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 140137ms
Epoch 19/100 (19.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 150301ms
Epoch 20/100 (20.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 144461ms
Epoch 21/100 (21.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 148794ms
Epoch 22/100 (22.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 141551ms
Epoch 23/100 (23.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 145152ms
Epoch 24/100 (24.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 165388ms
Epoch 25/100 (25.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 163254ms
Epoch 26/100 (26.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 157512ms
Epoch 27/100 (27.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 175307ms
Epoch 28/100 (28.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 145608ms
Epoch 29/100 (29.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 141155ms
Epoch 30/100 (30.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 139178ms
Epoch 31/100 (31.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 136847ms
Epoch 32/100 (32.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 141264ms
Epoch 33/100 (33.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 145031ms
Epoch 34/100 (34.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 139981ms
Epoch 35/100 (35.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138482ms
Epoch 36/100 (36.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 142319ms
Epoch 37/100 (37.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 138617ms
Epoch 38/100 (38.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137797ms
Epoch 39/100 (39.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 136862ms
Epoch 40/100 (40.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137365ms
Epoch 41/100 (41.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137603ms
Epoch 42/100 (42.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 184639ms
Epoch 43/100 (43.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 137629ms
Epoch 44/100 (44.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 135305ms
Epoch 45/100 (45.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 170366ms
Epoch 46/100 (46.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 185357ms
Epoch 47/100 (47.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 164637ms
Epoch 48/100 (48.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 176046ms
Epoch 49/100 (49.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 171539ms
Epoch 50/100 (50.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 168382ms
Epoch 51/100 (51.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 147176ms
Epoch 52/100 (52.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 139159ms
Epoch 53/100 (53.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 141107ms
Epoch 54/100 (54.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 136289ms
Epoch 55/100 (55.0%) - Acc: 0.1506, Loss: 0.8441, Val_Acc: 0.1538, Val_Loss: 0.8409, Time: 160157ms
